AwayTeam,HomeTeam,AwayOffense,AwayDefense,AwayDiscapline,AwayTeamScore,AwayCenScore,AwayDefScore,AwayGScore,AwayWingScore,AwayPlayerScore,AwaySchedScore,AwayFloStrength,Awaylast3games,Awaylast5games,Awaylast7games,Awaylast10games,AwayPlayedYest,HomeOffense,HomeDefense,HomeDiscapline,HomeTeamScore,HomeCenScore,HomeDefScore,HomeGScore,HomeWingScore,HomePlayerScore,HomeSchedScore,HomeFloStrength,Homelast3games,Homelast5games,Homelast7games,Homelast10games,HomePlayedYest,gameID,ASpread,SpreadAwayOdd,HSpread,SpreadHomeOdd,OU,BookWin,BookSpread,predPD,FloWin,predOU,FloSpr,FloOU,SprWinnings,OUWinnings,AwayBookOdds,HomeBookOdds,WLWinnings,AScore,HScore,WTeam,TotGl,PD,MLCorr,ActSpr,ActOU,OUCorr,SprCorr,MLNet,SprNet,OUNet
WPG,SJS,0.286,1.139,0.847,0.631,0.035,0.325,0.582,0.114,0.611,0.683,0.646,0.668,0.449,0.571,0.493,0,-2.611,-2.851,1.399,0.091,0.133,-0.955,-0.411,-0.628,0.177,0.069,0.009,0.528,0.166,0.071,-0.022,0,WPGSJS20231212,-1.5,109,1.5,-130,6.5,WPG,1.5,5.97,WPG,5.387,-1.5,Under,1.09,0.91,-99,79,1.01,1,2,SJS,3,1,0,1.5,Under,1,0,-1,0.91,-1
PIT,MTL,0.324,0.573,0.9,0.59,0.386,0.143,1.118,-0.55,0.622,0.518,0.598,0.421,0.438,0.492,0.472,1,-1.361,-1.358,1.176,0.306,-0.289,0.146,0.234,-0.562,0.381,0.336,0.303,0.421,0.467,0.424,0.444,0,PITMTL20231213,-1.5,158,1.5,-190,6.5,PIT,1.5,2.5499999999999994,PIT,5.747999999999999,-1.5,Under,1.58,0.91,-148,128,0.68,4,3,PIT,7,1,1,1.5,Over,0,0,0.68,-1,-1
BOS,NJD,0.542,0.554,-1.55,0.557,-0.248,-0.186,1.305,1.146,0.763,0.629,0.671,0.532,0.698,0.657,0.739,0,0.914,-0.49,-0.697,0.52,0.311,0.124,-0.787,0.332,0.45,0.432,0.493,0.524,0.54,0.496,0.507,0,BOSNJD20231213,1.5,-243,-1.5,195,6,NJD,1.5,1.3800000000000008,BOS,7.3919999999999995,1.5,Over,0.41,0.91,185,-205,1.85,1,2,NJD,3,1,0,1.5,Under,0,1,-1,-1,0.41
ANA,NYI,-1.011,-0.753,-0.135,0.356,-0.266,-0.513,-0.19,-0.345,0.251,0.349,0.305,0.35,0.424,0.482,0.602,0,-0.305,-1.421,0.226,0.367,0.471,0.358,0.907,-0.129,0.701,0.459,0.471,0.717,0.375,0.461,0.5,0,ANANYI20231213,1.5,-129,-1.5,108,6,NYI,1.5,-2.06,NYI,6.8580000000000005,-1.5,Over,1.08,0.91,98,-118,0.85,3,4,NYI,7,1,1,1.5,Over,1,0,0.85,0.91,-1
BUF,COL,-0.498,0.02,0.521,0.472,-0.316,-0.035,-0.563,0.271,0.354,0.418,0.422,0.63,0.376,0.397,0.569,0,1.037,0.388,-0.603,0.602,0.808,0.786,-0.126,-0.067,0.669,0.626,0.667,0.388,0.864,0.747,0.594,0,BUFCOL20231213,1.5,-136,-1.5,115,6.5,COL,1.5,-2.85,COL,6.131,-1.5,Under,1.15,0.91,105,-125,0.8,1,5,COL,6,4,1,-1.5,Under,1,1,0.8,0.91,1.15
WPG,LAK,0.208,1.149,0.976,0.628,-0.057,0.291,0.654,0.05,0.597,0.659,0.637,0.586,0.447,0.569,0.491,1,1.446,2.035,-0.691,0.765,0.355,0.557,0.607,0.501,0.764,0.836,0.823,0.433,0.614,0.652,0.7,0,WPGLAK20231213,1.5,-159,-1.5,135,6,LAK,1.5,-2.2600000000000007,LAK,4.47,-1.5,Under,1.35,0.91,125,-145,0.69,5,2,WPG,7,3,0,1.5,Over,0,0,-1,-1,-1
CBJ,TOR,-0.687,-1.44,-0.076,0.328,-0.467,-0.143,0.076,0.072,0.381,0.322,0.311,0.338,0.482,0.425,0.409,0,0.949,-0.454,-0.764,0.524,0.883,0.153,-1.042,0.025,0.454,0.612,0.52,0.78,0.457,0.589,0.524,0,CBJTOR20231214,1.5,-114,-1.5,-105,6.5,TOR,1.5,-2.49,TOR,8.155999999999999,-1.5,Over,0.95,0.91,-115,95,0.95,6,5,CBJ,11,1,0,1.5,Over,1,0,-1,0.91,-1
WSH,PHI,-1.732,0.18,1.436,0.405,-0.219,-0.6,0.359,-0.135,0.361,0.392,0.347,0.679,0.167,0.319,0.326,0,0.27,1.176,0.197,0.62,0.158,0.195,0.21,-0.157,0.512,0.61,0.611,0.703,0.607,0.653,0.498,0,WSHPHI20231214,1.5,-225,-1.5,183,5.5,PHI,1.5,-3.0399999999999996,PHI,3.181999999999999,-1.5,Under,1.83,0.91,173,-193,0.52,3,4,PHI,7,1,1,1.5,Over,0,0,0.52,-1,-1
CAR,DET,1.165,1.167,-0.376,0.679,0.027,0.571,-1.764,-0.021,0.271,0.49,0.527,0.578,0.406,0.318,0.421,0,0.779,-0.389,-0.273,0.526,0.104,0.574,0.033,0.558,0.643,0.619,0.612,0.325,0.803,0.793,0.673,0,CARDET20231214,-1.5,141,1.5,-167,6.5,CAR,1.5,-1.25,DET,7.166,1.5,Over,0.6,0.91,-131,111,1.11,2,1,CAR,3,1,0,1.5,Under,0,1,-1,-1,0.6
OTT,STL,1.098,-0.074,0.532,0.593,-0.029,0.327,-0.475,0.407,0.486,0.598,0.582,0.559,0.678,0.556,0.573,0,-0.531,-0.703,1.913,0.44,0.09,-0.102,0.053,-0.089,0.443,0.341,0.406,0.154,0.361,0.377,0.469,0,OTTSTL20231214,-1.5,202,1.5,-248,6.5,OTT,1.5,1.3599999999999985,OTT,7.344,1.5,Over,0.4,0.91,-192,172,0.52,2,4,STL,6,2,0,1.5,Under,0,1,-1,-1,0.4
CGY,MIN,0.093,-0.208,0.628,0.503,0.02,0.632,-0.813,-0.37,0.37,0.367,0.411,0.372,0.399,0.294,0.233,0,-0.107,-0.144,0.957,0.499,0.03,0.065,-0.449,0.231,0.432,0.446,0.462,0.524,0.441,0.468,0.419,0,CGYMIN20231214,1.5,-188,-1.5,157,6.5,MIN,1.5,-0.9100000000000006,MIN,6.338,1.5,Under,0.53,0.91,147,-167,0.6,2,3,MIN,5,1,1,1.5,Under,1,1,0.6,0.91,0.53
TBL,EDM,0.157,-0.509,-1.29,0.446,0.083,-0.418,-0.592,0.558,0.395,0.401,0.41,0.288,0.421,0.51,0.477,0,1.344,0.253,-1.244,0.603,0.444,0.239,-0.87,0.297,0.467,0.594,0.542,0.742,0.363,0.263,0.31,0,TBLEDM20231214,1.5,-172,-1.5,144,6.5,EDM,1.5,-1.7200000000000002,EDM,7.757000000000001,-1.5,Over,1.44,0.91,134,-154,0.65,7,4,TBL,11,3,0,1.5,Over,1,0,-1,0.91,-1
FLA,VAN,0.656,1.59,0.258,0.685,0.24,0.123,0.579,-0.605,0.502,0.58,0.628,0.503,0.434,0.478,0.444,0,0.521,1.008,-0.01,0.622,0.811,0.475,0.86,0.741,0.888,0.776,0.797,0.747,0.781,0.831,0.844,0,FLAVAN20231214,-1.5,209,1.5,-259,6,FLA,1.5,-2.0900000000000007,VAN,4.579,1.5,Under,0.39,0.91,-199,179,1.79,0,4,VAN,4,4,1,1.5,Under,1,1,1.79,0.91,0.39
CHI,SEA,-2.039,-1.108,1.843,0.285,0.201,-0.568,-0.264,-0.671,0.253,0.195,0.221,0.386,0.463,0.377,0.36,0,-0.863,0.306,0.125,0.458,-0.247,-0.039,-0.011,-0.251,0.368,0.308,0.389,0.561,0.351,0.346,0.388,0,CHISEA20231214,1.5,-131,-1.5,109,5.5,SEA,1.5,-2.08,SEA,3.9000000000000004,-1.5,Under,1.09,0.91,99,-119,0.84,1,7,SEA,8,6,1,-1.5,Over,0,1,0.84,-1,1.09
ANA,NYR,-1.067,-0.789,-0.165,0.348,-0.206,-0.477,-0.239,-0.389,0.27,0.344,0.299,0.33,0.424,0.481,0.601,0,0.112,0.519,-1.367,0.523,-0.185,0.382,0.414,0.453,0.608,0.619,0.585,0.334,0.537,0.654,0.706,0,ANANYR20231215,1.5,102,-1.5,-122,6,NYR,-1.5,-3.26,NYR,5.3149999999999995,-1.5,Under,0.82,0.91,-132,112,1.12,1,5,NYR,6,4,1,-1.5,Under,1,1,1.12,0.91,0.82
NSH,CAR,-0.175,-0.016,0.177,0.488,0.293,0.028,0.369,-0.233,0.521,0.496,0.489,0.42,0.458,0.468,0.432,0,1.128,1.249,-0.345,0.683,0.037,0.547,-1.544,-0.059,0.311,0.5,0.547,0.64,0.411,0.322,0.426,1,NSHCAR20231215,1.5,-185,-1.5,153,6,CAR,1.5,-0.9800000000000013,CAR,5.720000000000001,1.5,Under,0.54,0.91,143,-163,0.61,6,5,NSH,11,1,0,1.5,Over,0,1,-1,-1,0.54
BOS,NYI,0.336,0.555,-1.537,0.541,-0.274,-0.096,1.351,1.057,0.746,0.612,0.655,0.431,0.693,0.651,0.732,0,-0.215,-1.27,0.292,0.387,0.506,0.736,0.847,0.087,0.766,0.467,0.507,0.621,0.376,0.462,0.501,0,BOSNYI20231215,-1.5,198,1.5,-246,5.5,BOS,1.5,1.08,BOS,6.836,1.5,Over,0.41,0.91,-188,168,0.53,5,4,BOS,9,1,1,1.5,Over,1,1,0.53,0.91,0.41
OTT,DAL,1.005,-0.111,0.516,0.582,-0.078,0.292,-0.544,0.397,0.466,0.567,0.565,0.493,0.674,0.553,0.57,1,0.326,-0.061,-1.289,0.495,0.017,0.314,0.139,0.795,0.636,0.624,0.572,0.505,0.655,0.582,0.593,0,OTTDAL20231215,1.5,-147,-1.5,123,6.5,DAL,1.5,-0.47000000000000064,DAL,7.502999999999999,1.5,Over,0.68,0.91,113,-133,0.75,4,5,DAL,9,1,1,1.5,Over,1,1,0.75,0.91,0.68
SJS,ARI,-2.573,-2.682,1.202,0.104,0.262,-0.951,-0.27,-0.412,0.261,0.087,0.031,0.555,0.166,0.068,-0.024,0,-0.927,-0.352,-0.932,0.379,-0.233,-0.327,0.4,0.849,0.554,0.53,0.442,0.227,0.583,0.515,0.583,0,SJSARI20231215,1.5,-146,-1.5,122,6.5,ARI,1.5,-4.51,ARI,5.534000000000001,-1.5,Under,1.22,0.91,112,-132,0.76,0,1,ARI,1,1,1,1.5,Under,1,0,0.76,0.91,-1
BUF,VEG,-0.602,-0.045,0.646,0.461,-0.367,-0.172,-0.696,0.169,0.304,0.395,0.389,0.408,0.38,0.401,0.574,0,0.885,1.316,-1.692,0.642,0.304,0.381,1.328,-0.168,0.719,0.726,0.739,0.736,0.762,0.747,0.724,0,BUFVEG20231215,1.5,-123,-1.5,102,6.5,VEG,1.5,-3.8999999999999995,VEG,5.012,-1.5,Under,1.02,0.91,92,-112,0.89,5,2,BUF,7,3,0,1.5,Over,0,0,-1,-1,-1
VAN,MIN,0.381,1.097,-0.111,0.616,0.838,0.461,1.034,0.652,0.86,0.82,0.794,0.865,0.781,0.833,0.849,0,-0.182,-0.116,1.044,0.497,0.014,-0.043,-0.302,0.187,0.433,0.461,0.464,0.615,0.441,0.468,0.42,0,VANMIN20231216,1.5,-259,-1.5,209,6,MIN,1.5,2.8999999999999995,VAN,5.218,1.5,Under,0.39,0.91,199,-219,1.99,1,2,MIN,3,1,0,1.5,Under,1,1,-1,0.91,0.39
NYR,BOS,0.27,0.638,-1.291,0.547,0.168,0.263,0.544,0.515,0.656,0.641,0.626,0.623,0.541,0.657,0.708,1,0.381,0.449,-1.668,0.533,-0.293,-0.07,1.254,1.111,0.726,0.617,0.644,0.546,0.693,0.649,0.731,1,NYRBOS20231216,1.5,-245,-1.5,199,5.5,BOS,1.5,-0.580000000000001,BOS,5.564,1.5,Over,0.41,0.91,189,-209,0.48,2,1,NYR,3,1,0,1.5,Under,0,1,-1,-1,0.41
PIT,TOR,0.28,0.494,0.66,0.575,0.424,0.15,1.112,-0.564,0.606,0.521,0.587,0.526,0.435,0.491,0.471,0,1.152,-0.61,-0.745,0.528,0.922,0.174,-1.339,0.35,0.467,0.594,0.522,0.562,0.453,0.585,0.522,0,PITTOR20231216,1.5,-195,-1.5,161,6.5,TOR,1.5,0.24999999999999822,PIT,7.548,1.5,Over,0.51,0.91,151,-171,1.51,0,7,TOR,7,7,0,-1.5,Over,1,0,-1,0.91,-1
NYI,MTL,-0.107,-1.325,0.44,0.394,0.575,0.879,0.777,0.092,0.77,0.459,0.511,0.52,0.378,0.463,0.501,1,-1.224,-1.308,1.27,0.323,-0.274,0.189,0.227,-0.59,0.391,0.329,0.313,0.452,0.467,0.425,0.445,0,NYIMTL20231216,-1.5,182,1.5,-222,6,NYI,1.5,1.58,NYI,7.302,-1.5,Over,1.82,0.91,-172,152,0.58,3,5,MTL,8,2,0,1.5,Over,1,0,-1,0.91,-1
DET,PHI,0.567,-0.379,-0.279,0.509,-0.086,0.512,0.147,0.53,0.603,0.606,0.588,0.412,0.8,0.791,0.671,0,0.23,1.157,0.319,0.617,0.114,0.11,-0.972,-0.122,0.333,0.614,0.547,0.628,0.605,0.65,0.495,0,DETPHI20231216,1.5,-235,-1.5,191,6,PHI,1.5,0.009999999999998899,DET,6.019,1.5,Over,0.43,0.91,181,-201,1.81,0,1,PHI,1,1,0,1.5,Under,0,1,-1,-1,0.43
NJD,CBJ,0.837,-0.293,-0.645,0.531,0.298,0.104,-0.644,0.319,0.463,0.448,0.507,0.518,0.545,0.5,0.51,0,-0.498,-1.615,-0.072,0.33,-0.45,-0.035,0.052,0.142,0.413,0.335,0.325,0.561,0.481,0.424,0.408,0,NJDCBJ20231216,-1.5,110,1.5,-132,6.5,NJD,1.5,1.42,NJD,8.247,1.5,Over,0.76,0.91,-100,80,1,6,3,NJD,9,3,1,-1.5,Over,1,0,1,0.91,-1
COL,WPG,1.064,0.515,-0.69,0.612,0.748,0.794,0.03,0.007,0.668,0.654,0.685,0.588,0.862,0.747,0.591,0,0.252,1.177,1.044,0.635,-0.016,0.308,0.71,0.138,0.608,0.695,0.653,0.65,0.441,0.564,0.487,0,COLWPG20231216,-1.5,198,1.5,-244,6,COL,1.5,-0.08000000000000007,WPG,5.624,1.5,Under,0.41,0.91,-188,168,1.68,2,6,WPG,8,4,1,1.5,Over,0,1,1.68,-1,0.41
DAL,STL,0.335,-0.099,-1.392,0.491,0.057,0.306,0.281,0.767,0.645,0.63,0.572,0.51,0.653,0.58,0.591,1,-0.47,-0.639,1.825,0.448,0.157,-0.039,0.129,-0.064,0.477,0.368,0.429,0.387,0.366,0.38,0.471,0,DALSTL20231216,-1.5,172,1.5,-210,6.5,DAL,1.5,1.0299999999999994,DAL,6.603000000000001,1.5,Over,0.48,0.91,-162,142,0.62,3,4,STL,7,1,0,1.5,Over,1,1,-1,0.91,0.48
WSH,NSH,-1.648,0.195,1.198,0.408,-0.16,-0.609,0.351,-0.104,0.381,0.391,0.354,0.677,0.165,0.317,0.327,0,-0.03,-0.095,0.291,0.496,0.355,0.113,0.24,-0.197,0.522,0.509,0.5,0.618,0.461,0.471,0.435,1,WSHNSH20231216,1.5,-220,-1.5,181,6,NSH,1.5,-1.8599999999999999,NSH,4.2219999999999995,-1.5,Under,1.81,0.91,171,-191,0.52,1,3,NSH,4,2,1,-1.5,Under,1,1,0.52,0.91,1.81
BUF,ARI,-0.523,-0.015,0.701,0.471,-0.251,-0.129,-0.559,0.201,0.351,0.433,0.42,0.61,0.387,0.405,0.577,1,-1.047,-0.11,-0.847,0.391,-0.112,-0.347,0.525,0.807,0.572,0.532,0.457,0.303,0.584,0.516,0.583,1,BUFARI20231216,1.5,-243,-1.5,197,6.5,ARI,1.5,-0.77,ARI,4.555000000000001,1.5,Under,0.41,0.91,187,-207,0.48,0,2,ARI,2,2,1,-1.5,Under,1,0,0.48,0.91,-1
TBL,CGY,0.249,-0.722,-1.186,0.438,0.229,-0.343,-0.427,0.468,0.442,0.435,0.428,0.581,0.418,0.507,0.478,0,0.064,-0.128,0.471,0.504,0.019,0.411,-0.68,-0.404,0.363,0.364,0.408,0.388,0.4,0.295,0.235,0,TBLCGY20231216,1.5,-258,-1.5,208,6.5,CGY,1.5,-0.19999999999999973,CGY,7.163,1.5,Over,0.39,0.91,198,-218,0.46,2,4,CGY,6,2,1,-1.5,Under,0,0,0.46,-1,-1
FLA,EDM,0.487,1.643,0.353,0.678,0.263,0.059,0.394,-0.53,0.478,0.549,0.61,0.281,0.433,0.48,0.442,0,1.532,0.126,-1.303,0.607,0.444,0.256,-1.072,0.256,0.437,0.556,0.528,0.546,0.362,0.266,0.313,0,FLAEDM20231216,1.5,-203,-1.5,168,6.5,EDM,1.5,0.41999999999999904,FLA,6.25,1.5,Under,0.49,0.91,158,-178,1.58,5,1,FLA,6,4,1,1.5,Under,1,1,1.58,0.91,0.49
VAN,CHI,0.338,1.124,-0.085,0.615,0.798,0.419,1.168,0.588,0.872,0.797,0.783,0.756,0.817,0.751,0.653,1,-2.088,-1.235,2.01,0.274,0.11,-0.847,-0.526,-0.663,0.171,0.153,0.13,0.087,0.232,0.18,0.161,0,VANCHI20231217,-1.5,111,1.5,-133,6.5,VAN,1.5,6.13,VAN,4.361000000000001,-1.5,Under,1.11,0.91,-101,81,0.99,4,3,VAN,7,1,1,1.5,Over,0,0,0.99,-1,-1
WSH,CAR,-1.744,0.245,1.209,0.404,-0.169,-0.654,0.308,-0.131,0.354,0.376,0.347,0.436,0.552,0.303,0.355,1,1.161,1.076,-0.481,0.669,0.052,0.567,-1.775,0,0.281,0.487,0.546,0.625,0.552,0.416,0.56,0,WSHCAR20231217,1.5,-125,-1.5,104,6,CAR,1.5,-2.390000000000001,CAR,4.095999999999999,-1.5,Under,1.04,0.91,94,-114,0.88,2,1,WSH,3,1,0,1.5,Under,1,0,-1,0.91,-1
ANA,NJD,-1.102,-0.952,-0.139,0.333,-0.263,-0.508,-0.289,-0.383,0.241,0.313,0.221,0.269,0.238,0.284,0.174,0,0.941,-0.25,-0.722,0.541,0.427,0.11,-0.692,0.345,0.474,0.468,0.528,0.515,0.606,0.478,0.619,1,ANANJD20231217,1.5,-106,-1.5,-114,6.5,NJD,1.5,-3.47,NJD,7.0409999999999995,-1.5,Over,0.88,0.91,-124,104,1.04,5,1,ANA,6,4,0,1.5,Under,0,0,-1,-1,-1
SJS,COL,-2.634,-2.504,1.14,0.112,0.19,-1.023,-0.187,-0.439,0.238,0.086,0.098,0.472,0.532,0.578,0.55,0,1.007,0.395,-0.686,0.598,0.714,0.287,-0.183,0.104,0.579,0.621,0.601,0.566,0.442,0.426,0.447,1,SJSCOL20231217,1.5,-100,-1.5,-120,6.5,COL,1.5,-5.43,COL,6.481999999999999,-1.5,Under,0.83,0.91,-130,110,1.1,2,6,COL,8,4,1,-1.5,Over,0,1,1.1,-1,0.83
OTT,VEG,1.004,-0.16,0.607,0.58,0.267,0.369,-0.771,0.292,0.469,0.554,0.545,0.307,0.436,0.599,0.42,0,0.823,1.228,-1.798,0.628,0.286,0.19,1.212,-0.204,0.659,0.688,0.692,0.426,0.672,0.664,0.674,0,OTTVEG20231217,1.5,-157,-1.5,130,6.5,VEG,1.5,-1.87,VEG,6.759,-1.5,Over,1.3,0.91,120,-140,0.71,3,6,VEG,9,3,1,-1.5,Over,1,1,0.71,0.91,1.3
ANA,DET,-1.002,-0.813,-0.267,0.349,-0.13,-0.421,-0.912,-0.428,0.195,0.358,0.246,0.477,0.395,0.41,0.292,1,0.446,-0.309,-0.307,0.505,-0.138,0.456,-0.126,0.484,0.544,0.591,0.506,0.514,0.308,0.328,0.422,0,ANADET20231218,1.5,-127,-1.5,106,6.5,DET,1.5,-3.0000000000000004,DET,6.566,-1.5,Over,1.06,0.91,96,-116,0.86,4,3,ANA,7,1,0,1.5,Over,1,0,-1,0.91,-1
MIN,PIT,-0.249,-0.088,1.041,0.494,-0.033,0.176,-0.137,0.157,0.475,0.477,0.517,0.7,0.587,0.685,0.727,0,0.199,0.208,0.767,0.548,0.325,-0.143,0.872,-0.585,0.516,0.465,0.502,0.341,0.268,0.252,0.362,0,MINPIT20231218,1.5,-253,-1.5,204,6,PIT,1.5,-0.25,PIT,5.83,1.5,Under,0.4,0.91,194,-214,0.47,3,4,PIT,7,1,1,1.5,Over,0,1,0.47,-1,0.4
SEA,DAL,-0.752,0.428,-0.016,0.474,-0.264,0.043,0.352,-0.156,0.449,0.348,0.455,0.827,0.631,0.504,0.434,0,0.288,-0.202,-1.273,0.481,0.045,0.307,0.124,0.798,0.625,0.614,0.541,0.62,0.51,0.36,0.557,0,SEADAL20231218,1.5,-158,-1.5,132,6,DAL,1.5,-1.2600000000000007,DAL,5.3100000000000005,1.5,Under,0.63,0.91,122,-142,0.7,3,4,DAL,7,1,1,1.5,Over,0,1,0.7,-1,0.63
FLA,CGY,0.669,1.567,0.273,0.684,0.297,0.066,0.593,-0.527,0.511,0.586,0.658,0.395,0.55,0.523,0.676,0,0.106,-0.113,0.618,0.512,0.018,0.438,-0.613,-0.358,0.382,0.382,0.442,0.498,0.419,0.374,0.446,0,FLACGY20231218,-1.5,192,1.5,-239,6.5,FLA,1.5,1.7599999999999998,FLA,5.321000000000001,-1.5,Under,1.92,0.91,-182,162,0.55,1,3,CGY,4,2,0,1.5,Under,1,0,-1,0.91,-1
MIN,BOS,-0.269,-0.137,1.201,0.492,-0.052,0.245,-0.202,0.038,0.454,0.469,0.506,0.562,0.608,0.618,0.776,1,0.22,0.42,-1.641,0.518,-0.241,-0.262,1.368,1.063,0.714,0.609,0.591,0.46,0.439,0.504,0.394,0,MINBOS20231219,1.5,-141,-1.5,119,5.5,BOS,1.5,-1.25,BOS,5.667999999999999,1.5,Over,0.71,0.91,109,-129,0.78,4,3,MIN,7,1,0,1.5,Over,1,1,-1,0.91,0.71
CBJ,BUF,-0.494,-1.672,-0.058,0.326,-0.468,-0.046,0.052,0.193,0.413,0.315,0.293,0.35,0.296,0.255,0.389,0,-0.639,0.084,0.722,0.47,-0.312,-0.177,-0.571,0.149,0.325,0.415,0.394,0.433,0.471,0.467,0.372,0,CBJBUF20231219,1.5,-152,-1.5,127,6.5,BUF,1.5,-1.4100000000000006,BUF,6.455,1.5,Under,0.66,0.91,117,-137,0.73,9,4,CBJ,13,5,0,1.5,Over,0,1,-1,-1,0.66
NYR,TOR,0.274,0.755,-1.315,0.556,-0.129,0.39,0.639,0.467,0.637,0.645,0.59,0.517,0.492,0.39,0.388,0,1.402,-0.517,-0.813,0.554,0.924,0.252,-1.428,0.5,0.484,0.662,0.616,0.961,0.954,0.86,0.81,0,NYRTOR20231219,-1.5,206,1.5,-253,6.5,NYR,1.5,-0.660000000000001,TOR,7.438,1.5,Over,0.4,0.91,-196,176,1.76,5,2,NYR,7,3,0,-1.5,Over,1,0,-1,0.91,-1
STL,TBL,-0.34,-0.578,1.724,0.461,0.171,-0.083,0.09,-0.014,0.472,0.383,0.418,0.557,0.299,0.299,0.289,0,0.24,-0.724,-1.357,0.434,0.219,-0.084,-0.546,0.442,0.454,0.417,0.411,0.474,0.365,0.545,0.313,0,STLTBL20231219,1.5,-162,-1.5,137,6.5,TBL,1.5,-0.3299999999999996,TBL,7.202000000000001,1.5,Over,0.62,0.91,127,-147,0.68,1,6,TBL,7,5,1,-1.5,Over,1,0,0.68,0.91,-1
PHI,NJD,0.176,1.204,0.328,0.617,-0.04,0.094,0.488,-0.146,0.504,0.618,0.629,0.54,0.726,0.732,0.642,0,0.808,-0.317,-0.42,0.531,0.386,0.063,-0.772,0.294,0.446,0.421,0.483,0.412,0.404,0.47,0.424,0,PHINJD20231219,1.5,-182,-1.5,152,6.5,NJD,1.5,1.0599999999999996,PHI,6.097,1.5,Under,0.55,0.91,142,-162,1.42,3,2,PHI,5,1,1,1.5,Under,1,1,1.42,0.91,0.55
VEG,CAR,0.949,1.219,-1.78,0.638,0.361,0.266,0.576,0.191,0.641,0.715,0.71,0.557,0.705,0.7,0.77,0,1.024,1.2,-0.432,0.669,-0.006,0.493,-1.641,-0.035,0.287,0.476,0.535,0.455,0.541,0.38,0.463,0,VEGCAR20231219,1.5,-227,-1.5,185,6,CAR,1.5,1.3499999999999988,VEG,5.553999999999999,1.5,Under,0.44,0.91,175,-195,1.75,3,6,CAR,9,3,0,-1.5,Over,0,0,-1,-1,-1
EDM,NYI,1.485,-0.082,-1.263,0.587,0.364,0.2,-0.999,0.259,0.426,0.532,0.576,0.322,0.488,0.733,0.881,0,-0.065,-1.473,0.426,0.385,0.599,0.986,0.784,0.083,0.786,0.433,0.515,0.383,0.484,0.497,0.548,0,EDMNYI20231219,-1.5,160,1.5,-192,6.5,EDM,1.5,0.20999999999999908,EDM,8.975000000000001,1.5,Over,0.52,0.91,-150,130,0.67,1,3,NYI,4,2,0,1.5,Under,0,1,-1,-1,0.52
VAN,NSH,0.352,1.102,-0.055,0.615,0.805,0.436,1.147,0.621,0.862,0.796,0.786,0.715,0.795,0.756,0.709,0,-0.066,0.045,0.286,0.504,0.359,0.112,0.322,-0.228,0.527,0.524,0.527,0.682,0.537,0.629,0.507,0,VANNSH20231219,1.5,-240,-1.5,195,6.5,NSH,1.5,2.1899999999999995,VAN,5.139,1.5,Under,0.42,0.91,185,-205,1.85,5,2,VAN,7,3,1,1.5,Over,0,1,1.85,-1,0.42
COL,CHI,1.099,0.438,-0.637,0.61,0.865,0.38,-0.133,0.254,0.637,0.629,0.636,0.579,0.509,0.475,0.414,0,-2.061,-1.216,1.902,0.276,0.083,-0.884,-0.601,-0.595,0.177,0.153,0.124,0.101,0.15,0.195,0.117,0,COLCHI20231219,-1.5,105,1.5,-126,6,COL,1.5,4.72,COL,5.816000000000001,-1.5,Under,1.05,0.91,-95,75,1.05,2,3,CHI,5,1,0,1.5,Under,1,0,-1,0.91,-1
OTT,ARI,0.931,-0.323,0.62,0.561,0.288,0.342,-0.965,0.365,0.454,0.529,0.516,0.277,0.381,0.489,0.424,0,-1.123,0.044,-0.886,0.396,-0.048,-0.359,0.712,0.761,0.596,0.55,0.458,0.517,0.329,0.418,0.571,0,OTTARI20231219,-1.5,188,1.5,-233,6.5,OTT,1.5,0.17999999999999972,OTT,6.087000000000001,1.5,Under,0.43,0.91,-178,158,0.56,3,4,ARI,7,1,0,1.5,Over,0,1,-1,-1,0.43
LAK,SJS,1.323,1.975,-0.759,0.749,0.227,0.45,1.47,0.42,0.801,0.812,0.823,0.341,0.414,0.537,0.618,0,-2.638,-2.53,1.059,0.108,0.245,-1.061,-0.3,-0.445,0.236,0.068,0.066,0.376,0.399,0.402,0.465,0,LAKSJS20231219,-1.5,-106,1.5,-114,6,LAK,-1.5,7.17,LAK,5.24,-1.5,Under,0.94,0.91,116,-136,1.16,4,1,LAK,5,3,1,-1.5,Under,1,1,1.16,0.91,0.94
NYI,WSH,-0.159,-1.317,0.087,0.384,0.601,0.929,0.848,0.069,0.786,0.457,0.531,0.454,0.509,0.626,0.623,1,-1.897,0.364,1.22,0.402,-0.107,-0.671,0.436,-0.172,0.381,0.387,0.366,0.442,0.622,0.391,0.404,0,NYIWSH20231220,1.5,-248,-1.5,199,6,WSH,1.5,1.25,NYI,4.897,1.5,Under,0.4,0.91,189,-209,1.89,2,3,WSH,5,1,0,1.5,Under,1,1,-1,0.91,0.4
DET,WPG,0.432,-0.279,-0.343,0.505,0.184,0.445,0.321,0.497,0.649,0.58,0.536,0.389,0.362,0.241,0.383,0,0.303,1.137,1.338,0.642,0.024,0.346,0.727,0.17,0.624,0.722,0.714,0.851,0.736,0.801,0.693,0,DETWPG20231220,1.5,-183,-1.5,152,6.5,WPG,1.5,-2.1799999999999997,WPG,5.877000000000001,-1.5,Under,1.52,0.91,142,-162,0.62,2,5,WPG,7,3,1,-1.5,Over,0,1,0.62,-1,1.52
