Player,Age,Team,Pos,GP,ATOI,G,A,PTS,S,SV,SavePer,FloStrength,Value,yearID,PlusMinus
Ville Sirén,21,PIT,D,345,0,16,76,92,329,NA,NA,-0.171,-1.9,1986,14
Vince Dunn,21,STL,D,501,19.73,72,193,265,932,NA,NA,0.843,14.57,2018,33
Vincent Damphousse,30,MTL,C,1378,0,432,773,1205,3511,NA,NA,0.997,44.31,1998,7
Vincent Desharnais,26,EDM,D,141,15.25,1,18,19,75,NA,NA,-0.715,-3.47,2023,13
Vincent Lecavalier,28,TBL,C,1212,8.72,421,528,949,3468,NA,NA,1.165,45.57,2009,-140
Vincent Riendeau,22,STL,G,178,56.98,NA,NA,NA,NA,4076,0.88,-0.274,-1.44,1989,NA
Vincent Tremblay,22,TOR,G,40,50.75,NA,NA,NA,NA,1037,0.87,0.018,0.03,1982,NA
Vincent Trocheck,23,FLA,C,759,19.13,210,336,546,1950,NA,NA,0.512,12.54,2017,7
Vinni Lettieri,22,NYR,C,50,12.34,6,9,15,78,NA,NA,-1.011,-1.63,2018,-20
Vinnie Hinostroza,23,CHI,C,309,13.74,47,88,135,537,NA,NA,-0.507,-5.06,2018,-8
Vitali Karamnov,25,STL,LW,85,0,12,19,31,88,NA,NA,-0.394,-1.07,1994,4
Vitali Kravtsov,21,NYR,RW,20,12.4,2,2,4,23,NA,NA,-1.286,-0.83,2021,-6
Vitali Prokhorov,26,STL,RW,81,0,19,11,30,106,NA,NA,-0.153,-0.4,1993,-10
Vitali Yachmenev,24,NSH,RW,483,0,83,132,215,727,NA,NA,-0.021,-0.33,1999,-31
Vitaly Vishnevski,19,ANA,D,552,1.94,16,52,68,456,NA,NA,-0.73,-13.879999999999999,2000,-27
