Player,Age,Team,Pos,GP,ATOI,G,A,PTS,S,SV,SavePer,FloStrength,Value,yearID,PlusMinus
A.J. Greer,28,FLA,LW,41,9.98,4,5,9,48,NA,NA,-0.917,-1.21,2025,2
Aaron Broten,21,NJD,LW,746,0,186,329,515,1421,NA,NA,0.128,3.07,1982,-72
Aaron Dell,27,SJS,G,119,53.4,NA,NA,NA,NA,2957,0.91,-0.203,-0.9799999999999998,2017,NA
Aaron Downey,27,CHI,RW,179,0,7,6,13,66,NA,NA,-1.16,-6.7,2002,-3
Aaron Ekblad,20,FLA,D,716,22.88,117,250,367,1762,NA,NA,1.203,29.71,2017,87
Aaron Gavey,23,CGY,C,343,0,41,49,90,368,NA,NA,-0.606,-6.71,1998,-52
Aaron Johnson,25,CHI,D,291,9.17,17,45,62,263,NA,NA,-0.035,-0.36000000000000004,2009,1
Aaron Miller,26,COL,D,662,1.49,25,91,116,516,NA,NA,-0.177,-4.06,1998,26
Aaron Ness,29,ARI,D,53,14.13,1,3,4,40,NA,NA,-1.445,-2.63,2020,-12
Aaron Rome,26,VAN,D,217,15.78,6,21,27,186,NA,NA,-1.247,-9.33,2010,-17
Aaron Ward,36,BOS,D,833,4.7,43,106,149,676,NA,NA,-0.473,-13.57,2009,-44
Aatu Räty,22,VAN,C,20,9.52,2,2,4,12,NA,NA,-0.877,-0.57,2025,-2
Ab DeMarco,22,NYR,D,336,0,44,79,123,748,NA,NA,0.407,4.73,1972,28
Ab McDonald,31,PIT,LW,245,0,70,80,150,553,NA,NA,0.475,3.7600000000000002,1968,13
Ace Bailey,21,BOS,LW,560,0,104,168,272,872,NA,NA,-0.261,-4.71,1970,-82
Adam Bennett,21,CHI,D,64,0,3,8,11,72,NA,NA,-0.743,-1.6400000000000001,1993,-10
Adam Boqvist,19,CHI,D,227,17.07,25,66,91,287,NA,NA,0.157,1.23,2020,-45
Adam Burish,28,DAL,C,128,13.55,14,19,33,171,NA,NA,-1.06,-4.37,2011,8
Adam Burt,29,CAR,D,732,0,37,115,152,814,NA,NA,-0.385,-9.73,1998,-51
Adam Clendening,24,NYR,D,81,15.66,4,18,22,98,NA,NA,0.259,0.72,2017,11
Adam Cracknell,30,EDM,RW,52,12.23,5,5,10,68,NA,NA,-1.212,-2.03,2016,-1
Adam Creighton,19,BUF,C,701,0,185,214,399,1221,NA,NA,0.097,2.19,1985,-18
Adam Deadmarsh,22,COL,RW,567,0,184,189,373,1209,NA,NA,1.006,18.38,1998,43
Adam Edstrom,24,NYR,C,40,9.15,2,3,5,32,NA,NA,-1.141,-1.47,2025,-9
Adam Erne,25,DET,LW,185,13.51,25,32,57,234,NA,NA,-0.818,-4.88,2021,-35
Adam Fantilli,19,CBJ,C,90,16.05,21,25,46,193,NA,NA,-0.142,-0.41000000000000003,2024,-32
Adam Foote,37,COL,D,1154,4.09,66,242,308,1128,NA,NA,0.24,9.57,2009,99
Adam Fox,21,NYR,D,397,23.13,54,285,339,746,NA,NA,2.135,29.22,2020,109
Adam Gaudette,23,VAN,C,97,11.83,25,25,50,123,NA,NA,0.294,0.9199999999999999,2020,-2
Adam Ginning,24,PHI,D,9,14.15,1,0,1,6,NA,NA,-0.586,-0.18,2024,0
Adam Graves,29,NYR,LW,1143,0,329,286,615,2846,NA,NA,0.432,15.940000000000001,1998,-23
Adam Hall,30,TBL,RW,387,3.15,56,63,119,689,NA,NA,-0.508,-6.34,2011,-39
Adam Henrique,26,NJD,C,951,17.58,268,274,542,1757,NA,NA,0.439,13.46,2017,-11
Adam Klapka,24,CGY,F,6,8.48,0,0,0,7,NA,NA,0,0,2025,1
Adam Larsson,24,EDM,D,889,21.31,47,174,221,1127,NA,NA,0.101,3.11,2017,29
Adam Lowry,23,WPG,C,744,15.14,115,148,263,1041,NA,NA,-0.651,-15.61,2017,47
Adam Mair,21,LAK,LW,326,0,17,42,59,310,NA,NA,-0.99,-10.41,2001,-9
Adam McQuaid,30,BOS,D,493,16.47,15,57,72,393,NA,NA,-0.334,-5.68,2017,67
Adam Oates,35,WSH,C,1337,0,341,1079,1420,2392,NA,NA,0.942,40.61,1998,33
Adam Pardy,24,CGY,D,338,15.31,4,48,52,247,NA,NA,-0.571,-6.6499999999999995,2009,8
Adam Pelech,22,NYI,D,520,20.01,26,121,147,711,NA,NA,0.234,4.2,2017,74
Adam Wilsby,24,NSH,D,15,18.72,1,2,3,22,NA,NA,0.381,0.2,2025,3
Adin Hill,22,ARI,G,157,55.06,NA,NA,NA,NA,3822,0.91,0.393,2.94,2019,NA
Adrian Aucoin,35,CGY,D,1107,7.91,120,278,398,2087,NA,NA,0.571,21.8,2009,45
Adrian Kempe,20,LAK,LW,587,16.68,178,187,365,1390,NA,NA,0.37,7.02,2017,22
Adrien Plavsic,20,STL,D,201,0,15,54,69,242,NA,NA,0.163,1.1199999999999999,1990,13
Aki Berg,20,LAK,D,606,0,15,70,85,518,NA,NA,-0.479,-10.01,1998,-12
Akil Thomas,25,LAK,C,16,10.4,1,2,3,18,NA,NA,-1.026,-0.53,2025,-1
Akira Schmid,22,NJD,G,37,49.06,NA,NA,NA,NA,785,0.91,0.345,0.44000000000000006,2023,NA
Al Arbour,35,STL,D,231,0,2,21,23,97,NA,NA,-0.629,-5.01,1968,27
Al Cameron,20,DET,D,273,0,11,41,52,367,NA,NA,-0.885,-8.33,1976,-108
Al Conroy,26,PHI,C,114,0,9,14,23,89,NA,NA,-0.961,-3.53,1992,-12
Al Hamilton,22,NYR,D,251,0,10,78,88,274,NA,NA,-0.055,-0.47000000000000014,1969,-42
Al Hangsleben,26,WSH,D,185,0,21,48,69,248,NA,NA,0.375,2.39,1980,5
Al Hill,23,PHI,LW,202,0,38,49,87,251,NA,NA,-0.485,-3.16,1979,25
Al Iafrate,31,SJS,D,799,0,152,311,463,1718,NA,NA,0.719,19.8,1998,-72
Al Jensen,23,WSH,G,178,55.56,NA,NA,NA,NA,4075,0.88,0.451,3.11,1982,NA
Al Karlander,23,DET,C,212,0,36,56,92,242,NA,NA,-0.398,-2.7199999999999998,1970,28
Al MacAdam,22,CLE,RW,859,0,240,351,591,1543,NA,NA,0.357,9.91,1975,-42
Al MacInnis,34,STL,D,1411,0,340,932,1272,5146,NA,NA,2.095,101.93,1998,372
Al MacNeil,32,PIT,D,74,0,2,10,12,75,NA,NA,0.059,0.15,1968,-5
Al McDonough,21,PIT,RW,231,0,71,87,158,694,NA,NA,0.456,3.39,1972,1
Al McLeod,24,DET,D,26,0,2,2,4,23,NA,NA,-0.417,-0.37,1974,-7
Al Montoya,31,MTL,G,156,54.87,NA,NA,NA,NA,3751,0.91,-0.358,-2.23,2017,NA
Al Secord,20,BOS,LW,766,0,273,223,496,1627,NA,NA,0.502,12.41,1979,7
Al Sims,20,BOS,D,466,0,48,115,163,781,NA,NA,0.43,6.91,1974,121
Al Smith,24,PIT,G,214,56.12,NA,NA,NA,NA,5224,0.88,-0.749,-7.02,1970,NA
Alain Caron,29,CLE,RW,59,0,9,13,22,117,NA,NA,-0.694,-1.32,1968,-23
Alain Chevrier,24,NJD,G,231,52.31,NA,NA,NA,NA,5300,0.86,-0.969,-9.28,1986,NA
Alain Côté,22,COL,LW,631,0,93,173,266,849,NA,NA,-0.434,-8.77,1980,29
Alain Daigle,20,CHI,RW,389,0,56,50,106,443,NA,NA,-0.818,-10.27,1975,-40
Alain Langlais,23,DAL,LW,14,0,3,3,6,45,NA,NA,-0.48,-0.22,1974,-6
Alain Lemieux,21,STL,C,108,0,28,43,71,144,NA,NA,-0.07,-0.25,1983,-12
Alain Nasreddine,23,MTL,D,59,0,1,4,5,32,NA,NA,-0.145,-0.30000000000000004,1999,11
Alain Vigneault,20,STL,D,42,0,2,5,7,22,NA,NA,-0.545,-0.7899999999999999,1982,-5
Alan Haworth,20,BUF,C,524,0,189,211,400,1157,NA,NA,0.394,6.65,1981,62
Alan Kerr,20,NYI,RW,375,0,72,92,164,625,NA,NA,-0.286,-3.47,1985,8
Alan May,25,WSH,LW,387,0,30,45,75,319,NA,NA,-0.944,-11.77,1990,-17
Alan Quine,23,NYI,C,61,12.52,5,13,18,82,NA,NA,-1.101,-2.17,2017,-2
Albert Johansson,24,DET,D,19,13.45,0,1,1,15,NA,NA,-1.607,-1.05,2025,-6
Alec Martinez,29,LAK,D,829,19.62,84,197,281,1176,NA,NA,0.451,12.89,2017,83
Alec Regula,21,CHI,D,15,17.88,1,0,1,18,NA,NA,-0.517,-0.27,2022,-1
Alek Stojanov,22,PIT,RW,103,0,2,5,7,31,NA,NA,-1.184,-3.9299999999999997,1996,-10
Aleksander Barkov,21,FLA,C,768,20.11,277,469,746,2018,NA,NA,1.352,33.49,2017,123
Aleksei Kolosov,23,PHI,G,15,52.21,NA,NA,NA,NA,302,0.87,-1.437,-1.16,2025,NA
Aleksey Morozov,20,PIT,RW,451,0,84,135,219,668,NA,NA,0.213,3.1,1998,-29
Aleksi Heponiemi,22,FLA,C,9,12.23,1,1,2,15,NA,NA,-1.072,-0.31,2021,1
Aleksi Saarela,23,FLA,C,9,12.25,2,2,4,15,NA,NA,-0.427,-0.12,2020,2
Alex Auld,28,OTT,G,223,54.69,NA,NA,NA,NA,5356,0.9,-0.267,-2.2699999999999996,2009,NA
Alex Belzile,31,MTL,F,31,12.13,6,8,14,40,NA,NA,-0.519,-0.52,2023,0
Alex Biega,28,VAN,D,221,15.92,3,35,38,323,NA,NA,-0.508,-3.88,2017,-21
Alex Brooks,30,NJD,D,19,0,0,1,1,4,NA,NA,-0.997,-0.65,2007,-1
Alex Chiasson,26,CGY,RW,516,14.03,92,94,186,751,NA,NA,-0.524,-8.72,2017,-52
Alex DeBrincat,20,CHI,RW,572,18.16,231,242,473,1635,NA,NA,1.256,23.18,2018,-53
Alex Delvecchio,35,DET,C,448,0,127,285,412,1075,NA,NA,0.708,10.23,1968,44
Alex Formenton,22,OTT,LW,79,15.45,18,14,32,162,NA,NA,-0.341,-0.87,2022,-13
Alex Frolov,26,LAK,LW,579,8.6,175,222,397,1274,NA,NA,0.772,14.41,2009,27
Alex Galchenyuk,22,MTL,C,643,14.86,146,208,354,1266,NA,NA,0.15,3.1199999999999997,2017,-77
Alex Goligoski,31,ARI,D,1075,21.94,87,386,473,1612,NA,NA,0.704,26.11,2017,53
Alex Henry,23,WSH,D,175,0,2,9,11,86,NA,NA,-1.159,-6.8100000000000005,2003,-5
Alex Hicks,28,PIT,LW,250,0,24,52,76,290,NA,NA,-0.608,-4.92,1998,5
Alex Iafallo,24,LAK,C,544,16.79,102,143,245,1055,NA,NA,-0.377,-6.61,2018,26
Alex Killorn,27,TBL,LW,908,17.23,224,296,520,1785,NA,NA,0.195,5.71,2017,86
Alex Kovalev,35,MTL,RW,1316,4.53,430,599,1029,3585,NA,NA,0.988,41.95,2009,-31
Alex Laferriere,22,LAK,RW,119,14.28,25,24,49,233,NA,NA,-0.399,-1.5299999999999998,2024,-3
Alex Lyon,30,FLA,G,75,56.45,NA,NA,NA,NA,1993,0.91,0.248,0.99,2023,NA
Alex McKendry,24,CGY,LW,36,0,3,6,9,30,NA,NA,-1.151,-1.34,1981,-5
Alex Nedeljkovic,25,CAR,G,152,56.19,NA,NA,NA,NA,4012,0.9,-0.002,-0.30000000000000027,2021,NA
Alex Newhook,21,COL,C,248,14.67,49,57,106,363,NA,NA,-0.389,-3.11,2022,-13
Alex Ovechkin,31,WSH,LW,1450,18.27,872,708,1580,6720,NA,NA,2.62,122.55,2017,58
Alex Pietrangelo,27,STL,D,1045,24.51,147,477,624,2530,NA,NA,1.21,43.63,2017,131
Alex Pirus,22,DAL,RW,155,0,30,26,56,234,NA,NA,-0.427,-2.13,1977,-52
Alex Stalock,30,MIN,G,173,54.19,NA,NA,NA,NA,4186,0.91,-0.146,-0.8200000000000001,2018,NA
Alex Steeves,25,TOR,F,4,11.02,0,0,0,5,NA,NA,0,0,2025,0
Alex Tanguay,29,MTL,LW,1088,9.12,283,580,863,1525,NA,NA,1.013,35.56,2009,163
Alex Tuch,21,VEG,RW,489,17.52,145,200,345,1229,NA,NA,0.471,7.42,2018,55
Alex Turcotte,23,LAK,C,33,12.52,4,11,15,34,NA,NA,-0.367,-0.39,2025,11
Alex Vlasic,20,CHI,D,131,21.32,5,30,35,149,NA,NA,-0.103,-0.47,2022,-18
Alexandar Georgiev,21,NYR,G,278,56.23,NA,NA,NA,NA,7279,0.9,0.035,0.6599999999999998,2018,NA
Alexander Alexeyev,23,WSH,D,76,14.83,1,7,8,52,NA,NA,-1.048,-2.74,2023,-6
Alexander Barabanov,26,TOR,F,206,16.66,32,75,107,313,NA,NA,-0.426,-2.83,2021,-58
Alexander Burmistrov,25,WPG,C,324,15.11,35,60,95,417,NA,NA,-0.938,-9.809999999999999,2017,-26
Alexander Edler,30,VAN,D,1030,21.99,104,335,439,2131,NA,NA,0.408,14.48,2017,-19
Alexander Godynyuk,21,TOR,D,220,0,10,39,49,252,NA,NA,-0.355,-2.69,1991,-7
Alexander Holtz,20,NJD,RW,49,11.82,3,9,12,64,NA,NA,-1.015,-1.6099999999999999,2022,-7
Alexander Karpovtsev,27,NYR,D,590,0,34,154,188,639,NA,NA,0.487,9.9,1998,50
Alexander Kerfoot,23,COL,C,563,15.04,93,186,279,759,NA,NA,-0.272,-4.93,2018,-7
Alexander Kharitonov,24,TBL,RW,66,0,7,15,22,103,NA,NA,-0.489,-1.04,2001,-9
Alexander Khavanov,29,STL,D,348,0,27,75,102,375,NA,NA,0.338,4.06,2001,15
Alexander Korolyuk,22,SJS,C,296,0,62,80,142,540,NA,NA,0.218,2.08,1998,26
Alexander Mogilny,28,VAN,RW,990,0,473,559,1032,2966,NA,NA,1.992,63.57,1998,81
Alexander Nylander,20,BUF,LW,119,13.02,24,23,47,197,NA,NA,-0.519,-1.99,2019,-7
Alexander Perezhogin,22,MTL,RW,128,0,15,19,34,212,NA,NA,-0.659,-2.7199999999999998,2006,16
Alexander Petrovic,24,FLA,D,250,16.42,5,44,49,244,NA,NA,-0.302,-2.6100000000000003,2017,-5
Alexander Radulov,30,MTL,RW,524,15.51,144,224,368,1122,NA,NA,0.569,9.61,2017,62
Alexander Romanov,21,MTL,D,319,19.88,13,57,70,434,NA,NA,-0.035,-0.37999999999999995,2021,27
Alexander Selivanov,26,TBL,LW,459,0,121,114,235,1105,NA,NA,0.409,6.0600000000000005,1998,-57
Alexander Semak,25,NJD,C,289,0,83,91,174,561,NA,NA,0.143,1.33,1992,22
Alexander Semin,24,WSH,RW,650,14.51,239,278,517,1871,NA,NA,1.113,23.35,2009,71
Alexander Steen,32,STL,LW,1018,15.43,245,377,622,2431,NA,NA,0.286,9.38,2017,42
Alexander Suglobov,25,TOR,RW,14,0,0,0,0,17,NA,NA,-1.368,-0.62,2007,-6
Alexander Sulzer,25,NSH,D,129,16.94,7,15,22,121,NA,NA,-0.341,-1.52,2010,4
Alexander Svitov,20,TBL,C,179,0,13,24,37,204,NA,NA,-0.919,-5.3,2003,-22
Alexander Urbom,23,WSH,D,20,14.6,1,1,2,16,NA,NA,-0.597,-0.41,2014,1
Alexander Wennberg,22,CBJ,C,755,17.36,99,256,355,921,NA,NA,-0.432,-10.51,2017,-33
Alexandre Burrows,35,OTT,LW,842,14.17,199,196,395,1646,NA,NA,0.034,0.9199999999999998,2017,112
Alexandre Carrier,24,NSH,D,249,19.6,11,63,74,285,NA,NA,0.135,1.1600000000000001,2021,22
Alexandre Daigle,22,PHI,RW,616,0,129,198,327,1085,NA,NA,0.213,4.24,1998,-176
Alexandre Giroux,30,CBJ,C,9,12.2,1,0,1,18,NA,NA,-1.415,-0.41,2012,-2
Alexandre Picard,23,CBJ,D,247,13.36,19,50,69,282,NA,NA,-0.172,-1.46,2009,-29
Alexandre Texier,20,CBJ,C,222,14.58,36,50,86,328,NA,NA,-0.593,-4.24,2020,-17
Alexei Emelin,30,MTL,D,456,19.23,15,66,81,408,NA,NA,-0.696,-10.95,2017,-9
Alexei Gusarov,33,COL,D,607,0,39,128,167,454,NA,NA,0.186,3.8899999999999997,1998,50
Alexei Kasatonov,30,NJD,D,383,0,38,122,160,504,NA,NA,0.623,8.23,1990,52
Alexei Kudashov,22,TOR,C,25,0,1,0,1,24,NA,NA,-1.321,-1.07,1994,-3
Alexei Ponikarovsky,28,TOR,LW,670,9.18,137,184,321,1319,NA,NA,-0.159,-3.42,2009,45
Alexei Semenov,27,SJS,D,211,4.5,7,26,33,159,NA,NA,-0.503,-3.67,2009,1
Alexei Smirnov,21,ANA,LW,44,0,3,2,5,46,NA,NA,-0.956,-1.36,2003,-1
Alexei Tezikov,21,WSH,D,23,0,1,1,2,18,NA,NA,-1.233,-0.98,2000,-2
Alexei Yashin,24,OTT,C,850,0,337,444,781,2828,NA,NA,1.541,42.26,1998,-83
Alexei Zhamnov,27,CHI,C,807,0,249,470,719,2078,NA,NA,1.039,27.04,1998,10
Alexei Zhitnik,25,BUF,D,1085,1.14,96,375,471,2188,NA,NA,0.354,13.24,1998,-53
Alexey Marchenko,25,TOR,D,120,16.72,4,17,21,83,NA,NA,-0.36,-1.49,2017,3
Alexey Toropchenko,23,STL,RW,191,12.31,25,21,46,237,NA,NA,-0.947,-5.83,2023,-1
Alexis Lafrenière,19,NYR,LW,338,15.51,86,86,172,626,NA,NA,0.031,0.32,2021,-4
Aleš Hemský,33,DAL,RW,763,10.79,161,372,533,1490,NA,NA,0.325,7.99,2017,-55
Aleš Kotalík,30,EDM,RW,542,6.83,136,148,284,1373,NA,NA,0.096,1.67,2009,-46
Aleš Píša,26,NYR,D,51,0,1,3,4,37,NA,NA,0.184,0.32,2003,12
Alfie Turcotte,18,MTL,C,97,0,16,26,42,102,NA,NA,-0.654,-2.04,1984,-17
Aliaksei Protas,23,WSH,C,118,14.49,24,40,64,187,NA,NA,-0.022,-0.08000000000000007,2024,20
Allan Bester,19,TOR,G,198,53.91,NA,NA,NA,NA,5426,0.88,0.384,3.96,1984,NA
Allan Rourke,23,CAR,D,25,0,1,2,3,24,NA,NA,-0.02,-0.02,2004,4
Allan Stanley,41,TOR,D,128,0,5,26,31,136,NA,NA,0.212,0.9299999999999999,1968,11
Allan Stewart,27,NJD,LW,41,0,5,2,7,33,NA,NA,-0.873,-1.16,1991,-6
Allan Tuer,22,LAK,D,45,0,0,1,1,16,NA,NA,-1.438,-2.23,1986,-16
Allen Pedersen,22,BOS,D,421,0,5,36,41,222,NA,NA,-0.805,-11.66,1987,-3
Alyn McCauley,20,TOR,C,478,0,68,97,165,661,NA,NA,-0.364,-5.609999999999999,1998,25
Anatoli Semenov,28,EDM,C,362,0,68,126,194,580,NA,NA,-0.232,-2.71,1991,25
Anders Bjork,21,BOS,LW,205,12.86,25,33,58,203,NA,NA,-0.965,-6.37,2018,-16
Anders Carlsson,26,NJD,C,95,0,6,26,32,78,NA,NA,-0.975,-2.99,1987,-7
Anders Eldebrink,21,VAN,D,55,0,3,11,14,67,NA,NA,-0.64,-1.22,1982,-4
Anders Eriksson,35,NYR,D,567,2.77,22,154,176,631,NA,NA,0.457,8.950000000000001,2010,41
Anders Hedberg,27,NYR,RW,461,0,172,224,396,1212,NA,NA,0.798,11.86,1979,56
Anders Håkansson,25,DAL,LW,330,0,48,57,105,370,NA,NA,-0.804,-8.55,1982,-23
Anders Kallur,27,NYI,RW,383,0,101,110,211,596,NA,NA,-0.024,-0.29999999999999993,1980,42
Anders Lee,26,NYI,LW,797,16.34,277,206,483,2004,NA,NA,0.703,18.07,2017,28
Anders Lindbäck,22,NSH,G,107,51.78,NA,NA,NA,NA,2559,0.91,-0.503,-2.23,2011,NA
Anders Myrvold,25,NYI,D,12,0,0,1,1,8,NA,NA,-1.057,-0.44,2001,-2
Anders Nilsson,26,BUF,G,157,55.3,NA,NA,NA,NA,4326,0.91,-0.37,-2.5700000000000003,2017,NA
Anders Steen,25,WPG,C,42,0,5,11,16,57,NA,NA,-1.01,-1.37,1981,-22
Andre Faust,24,PHI,LW,37,0,8,5,13,33,NA,NA,-0.212,-0.25,1994,-1
Andre Lee,24,LAK,LW,19,9.17,1,2,3,18,NA,NA,-1.171,-0.72,2025,-5
Andre Savage,24,BOS,C,59,0,9,14,23,83,NA,NA,-0.408,-0.77,2000,-6
Andreas Athanasiou,22,DET,C,455,15.28,118,113,231,1016,NA,NA,0.002,0.039999999999999925,2017,-113
Andreas Borgman,22,TOR,D,48,13.68,3,8,11,46,NA,NA,-0.116,-0.19,2018,4
Andreas Dackell,25,OTT,RW,613,0,91,159,250,694,NA,NA,-0.054,-1.0700000000000003,1998,4
Andreas Englund,27,CHI,D,138,12.7,2,13,15,76,NA,NA,-0.77,-3.67,2023,-5
Andreas Johansson,24,PIT,RW,374,0,81,87,168,650,NA,NA,0.176,2.13,1998,-9
Andreas Johnsson,24,TOR,LW,250,14.27,46,67,113,405,NA,NA,-0.4,-3.2199999999999998,2019,11
Andreas Karlsson,24,WPG,C,206,0,14,33,47,223,NA,NA,-0.907,-6.0200000000000005,2000,-31
Andreas Lilja,33,DET,D,574,7.45,16,71,87,495,NA,NA,-0.323,-6.37,2009,35
Andreas Martinsen,27,CHI,LW,9,12.63,1,0,1,14,NA,NA,-1.523,-0.44,2018,-1
Andreas Nödl,23,PHI,RW,67,13.27,11,11,22,100,NA,NA,-0.794,-1.72,2011,14
Andreas Salomonsson,28,NJD,LW,71,0,5,9,14,78,NA,NA,-0.818,-1.87,2002,-13
Andrei Bashkirov,30,MTL,LW,18,0,0,3,3,22,NA,NA,-1.046,-0.61,2001,-2
Andrei Kostitsyn,23,MTL,LW,398,14.31,103,119,222,826,NA,NA,0.139,1.78,2009,15
Andrei Kovalenko,27,EDM,RW,620,0,173,206,379,1028,NA,NA,0.682,13.62,1998,-28
Andrei Kuzmenko,26,VAN,F,184,15.51,62,68,130,295,NA,NA,1.066,6.329999999999999,2023,-6
Andrei Loktionov,20,LAK,C,154,13.32,22,26,48,211,NA,NA,-0.831,-4.13,2011,-6
Andrei Lomakin,27,PHI,RW,215,0,42,62,104,310,NA,NA,-0.074,-0.52,1992,5
Andrei Markov,38,MTL,D,983,14.04,118,451,569,1607,NA,NA,1.217,41.29,2017,62
Andrei Nazarov,23,TBL,RW,568,0,53,71,124,592,NA,NA,-0.707,-12.96,1998,-68
Andrei Nikolishin,24,WSH,C,628,0,93,187,280,929,NA,NA,-0.223,-4.52,1998,23
Andrei Skopintsev,27,TBL,D,36,0,2,4,6,27,NA,NA,-0.203,-0.25,1999,-6
Andrei Svechnikov,18,CAR,RW,447,16.84,144,201,345,1235,NA,NA,0.659,9.51,2019,42
Andrei Trefilov,24,CGY,G,33,52.03,NA,NA,NA,NA,875,0.91,0.711,1.1,1994,NA
Andrei Vasilevskiy,22,TBL,G,507,58.79,NA,NA,NA,NA,13922,0.92,0.687,17.95,2017,NA
Andrei Zyuzin,20,SJS,D,496,0.97,38,82,120,683,NA,NA,-0.213,-3.6500000000000004,1998,-40
Andrej Meszároš,23,TBL,D,576,12.7,55,149,204,922,NA,NA,0.375,7.44,2009,11
Andrej Nedorost,22,CBJ,C,12,0,0,1,1,10,NA,NA,-1.394,-0.54,2003,-6
Andrej Nestrašil,23,DET,C,109,13.85,16,27,43,187,NA,NA,-0.554,-1.94,2015,3
Andrej Sekera,30,EDM,D,840,19.95,51,202,253,1091,NA,NA,0.126,3.6499999999999995,2017,11
Andrej Šustr,26,TBL,D,354,16.33,11,58,69,325,NA,NA,-0.602,-7.35,2017,-8
Andrew Alberts,27,PHI,D,449,10.62,8,47,55,247,NA,NA,-0.737,-11.4,2009,1
Andrew Bodnarchuk,27,COL,D,37,12.33,0,4,4,9,NA,NA,-0.983,-1.25,2016,-7
Andrew Brunette,35,MIN,LW,1099,5.88,265,462,727,1500,NA,NA,0.68,24.099999999999998,2009,-83
Andrew Campbell,26,ARI,D,33,17.53,0,1,1,28,NA,NA,-1.657,-1.89,2015,-13
Andrew Cassels,28,CGY,C,1009,0,202,528,730,1510,NA,NA,0.435,14.17,1998,-74
Andrew Cogliano,29,ANA,LW,1219,14.31,184,261,445,1873,NA,NA,-0.581,-22.86,2017,20
Andrew Copp,22,WPG,C,606,15.85,104,175,279,949,NA,NA,-0.399,-7.81,2017,63
Andrew Desjardins,29,CHI,LW,77,13.38,8,5,13,96,NA,NA,-1.195,-2.97,2016,-8
Andrew Ebbett,26,ANA,C,137,13.03,18,35,53,195,NA,NA,-0.706,-3.11,2009,-1
Andrew Ference,29,BOS,D,901,10.77,43,182,225,1060,NA,NA,-0.217,-6.75,2009,-29
Andrew Hammond,33,MTL,G,59,57.27,NA,NA,NA,NA,1592,0.91,0.507,1.48,2022,NA
Andrew Hutchinson,28,TBL,D,135,4.26,12,26,38,160,NA,NA,0.02,0.1,2009,-10
Andrew Ladd,31,NYI,LW,997,15.47,255,294,549,2146,NA,NA,0.245,7.87,2017,18
Andrew MacDonald,30,PHI,D,583,21.45,28,133,161,593,NA,NA,0.025,0.5000000000000006,2017,-13
Andrew MacWilliam,24,TOR,D,12,15.4,0,2,2,5,NA,NA,-1.235,-0.51,2015,-6
Andrew Mangiapane,23,CGY,LW,402,15.55,110,108,218,737,NA,NA,0.207,2.67,2020,49
Andrew McBain,19,WPG,RW,602,0,128,172,300,868,NA,NA,-0.087,-1.6699999999999997,1984,-144
Andrew McKim,23,BOS,C,29,0,0,1,1,22,NA,NA,-1.394,-1.3,1994,-10
Andrew Miller,26,EDM,C,9,13.75,1,5,6,14,NA,NA,-0.122,-0.04,2015,-2
Andrew Peeke,21,CBJ,D,270,19.31,10,41,51,262,NA,NA,-0.792,-7.37,2020,-63
Andrew Peters,23,BUF,LW,128,0,3,1,4,44,NA,NA,-1.27,-5.24,2004,-6
Andrew Raycroft,28,COL,G,259,54.74,NA,NA,NA,NA,6188,0.9,-0.363,-4.13,2009,NA
Andrew Shaw,25,MTL,C,544,15.25,116,131,247,1013,NA,NA,-0.187,-3.2699999999999996,2017,24
André Benoit,29,OTT,D,171,18.77,11,36,47,208,NA,NA,-0.311,-1.83,2013,-20
André Boudrias,24,DAL,C,655,0,150,335,485,1492,NA,NA,0.309,6.53,1968,-57
André Burakovsky,21,WSH,LW,594,17.11,NA,NA,NA,NA,NA,NA,0.03,0.9499999999999998,2017,NA
André Doré,22,NYR,D,321,0,42,120,162,409,NA,NA,0.46,4.94,1981,34
André Dupont,22,STL,D,648,0,67,158,225,1113,NA,NA,0.367,8.16,1972,207
André Lacroix,22,PHI,C,325,0,79,119,198,702,NA,NA,0.077,0.8100000000000002,1968,-31
André Racicot,23,MTL,G,26,55.12,NA,NA,NA,NA,601,0.88,-0.154,-0.17,1993,NA
André Roy,34,BUF,G,459,8.32,NA,NA,NA,NA,NA,NA,-0.42,-3.6499999999999995,1999,NA
André Savard,20,BOS,C,790,0,211,271,482,1382,NA,NA,-0.049,-1.2599999999999998,1974,120
André St. Laurent,20,NYI,C,644,0,129,187,316,1183,NA,NA,-0.491,-10.209999999999999,1974,5
Andrén Houle,27,MTL,RW,134,0,32,49,81,243,NA,NA,1.237,5.58,1977,97
Andy Bathgate,35,PIT,RW,150,0,35,68,103,501,NA,NA,0.317,1.5399999999999998,1968,-23
Andy Berenzweig,24,NSH,D,26,0,3,7,10,27,NA,NA,0.531,0.48,2002,-3
Andy Brickley,22,PIT,LW,380,0,81,139,220,477,NA,NA,-0.146,-1.79,1984,-17
Andy Brown,27,DET,G,62,54.29,NA,NA,NA,NA,1549,0.88,-0.838,-2.43,1972,NA
Andy Delmore,23,PHI,D,274,0,43,57,100,538,NA,NA,0.098,0.9199999999999999,2000,-34
Andy Greene,34,NJD,D,1057,20.73,52,212,264,1126,NA,NA,-0.193,-7.04,2017,-23
Andy Hilbert,27,NYI,C,297,6.82,41,62,103,608,NA,NA,-0.671,-6.43,2009,13
